coeff_index,coeff_name,n_intervals95,interval1_lower95,interval1_upper95
0,C_lq_m_mumu11,1,-0.0004647518528837,0.0155809829343581
1,C_lq_p_mumu11,1,-0.0420682670835438,0.0010929594290568
2,C_qe_11mumu,1,-0.0069374794808008,0.0169209735264697
3,C_lu_mumu11,1,-0.0063350061516728,0.021761723369284
4,C_eu_mumu11,1,-0.0006176372676498,0.0269469651334805
5,C_ld_mumu11,1,-0.0268505394030363,0.0151802728835843
6,C_ed_mumu11,1,-0.0330154908552993,0.0083669386589215
7,C_lq_p_mumu22,1,-0.0947323801049409,0.0389396793724236
8,C_qe_22mumu,1,-0.0478544971792908,0.0598927901300265
9,C_ld_mumu22,1,-0.0745290789998543,0.0615652270662151
10,C_ed_mumu22,1,-0.0801306902558001,0.0541409642885645
11,C_lq_m_mumu22,1,-0.0590944187974941,0.1166675005641723
12,C_lu_mumu22,1,-0.0771567511680214,0.098983696057556
13,C_eu_mumu22,1,-0.0665871199760105,0.1093700060029806
14,C_lq_p_mumu33,1,-0.2957376810650093,0.2245582438749602
15,C_qe_33mumu,1,-0.2529616703290837,0.268529087743149
16,C_ld_mumu33,1,-0.2688956567732608,0.2526041245010755
17,C_ed_mumu33,1,-0.2767654392805221,0.2445883502530297
18,C_lq_m_ee11,1,-0.0153257392071459,-0.0019495147620274
19,C_lq_p_ee11,1,0.0049350601313657,0.0296464228248354
20,C_qe_11ee,2,-0.0199344515944361,-0.0022403541231815
21,C_lu_ee11,1,-0.0208543820983033,-0.0017093889464353
22,C_eu_ee11,1,-0.0185500947381254,-0.0024271364273988
23,C_ld_ee11,2,-0.0453463991275856,-0.0202261279872142
24,C_ed_ee11,1,0.0073068875511877,0.038810326292657
25,C_lq_p_ee22,1,0.0312737242894178,0.1370385618785268
26,C_qe_22ee,2,-0.1200930009918878,-0.0249964349863825
27,C_ld_ee22,2,-0.1577020408664496,-0.051206590921213
28,C_ed_ee22,2,-0.1583010890194999,-0.0703473416536158
29,C_lq_m_ee22,2,-0.1828225855442452,-0.0304969491124014
30,C_lu_ee22,2,-0.1981377873477537,-0.0283802557857845
31,C_eu_ee22,2,-0.1893448890194298,-0.0305264951222545
32,C_lq_p_ee33,2,-0.636013454267779,-0.2653469100762381
33,C_qe_33ee,2,-0.6077475142106062,-0.2112416948721774
34,C_ld_ee33,2,-0.6201515874317283,-0.2275247584946743
35,C_ed_ee33,2,-0.6248364416994517,-0.2380874758346104
